ID	Family	Genus	Species	Part	Unnamed: 5	is_approximate_match	is_synonym	matched_name	nomenclature_code	score	search_string	taxon.flags	taxon.is_suppressed	taxon.is_suppressed_from_synth	taxon.name	taxon.ott_id	taxon.rank	taxon.source	taxon.synonyms	taxon.tax_sources	taxon.unique_name	_merge
Saccharum officinarum|WP	poaceae	Saccharum	saccharum officinarum	WP		False	False	Saccharum officinarum	ICN	1.0	saccharum officinarum	[]	False	False	Saccharum officinarum	1079465.0	species	ott3.5draft1	['Arundo saccharifera oppr', 'Saccharum atrorubens', 'Saccharum bataviense', 'Saccharum fragile', 'Saccharum glabrum', 'Saccharum hybridum', 'Saccharum infirmum', 'Saccharum luzonicum', 'Saccharum maddenii', 'Saccharum monandrum', 'Saccharum obscurum', 'Saccharum occidentale', 'Saccharum officinale', 'Saccharum officinarum atrorubens', 'Saccharum officinarum brevipedicellatum', 'Saccharum officinarum fragile', 'Saccharum officinarum fragile-variegatum', 'Saccharum officinarum genuinum', 'Saccharum officinarum giganteum', 'Saccharum officinarum glabrum', 'Saccharum officinarum jamaicense', 'Saccharum officinarum litteratum', 'Saccharum officinarum litteratum-breve', 'Saccharum officinarum luridum', 'Saccharum officinarum luteum-durum', 'Saccharum officinarum luzonicum', 'Saccharum officinarum obscurum', 'Saccharum officinarum oceanica', 'Saccharum officinarum oceanicum', 'Saccharum officinarum otaheitensa', 'Saccharum officinarum otaheitense', 'Saccharum officinarum purpureum', 'Saccharum officinarum rubicundum', 'Saccharum officinarum rubrum-altum', 'Saccharum officinarum rubrum-humile', 'Saccharum officinarum tahitense', 'Saccharum officinarum variegatum', 'Saccharum officinarum violaceum', 'Saccharum rubicundum', 'Saccharum spontaneum luzonicum', 'Saccharum violaceum']	['ncbi:4547', 'gbif:2703912', 'irmng:11009492']	Saccharum officinarum	both
Erythroxylum fimbriatum|WP	erythroxylaceae	Erythroxylum	erythroxylum fimbriatum	WP		False	False	Erythroxylum fimbriatum	ICN	1.0	erythroxylum fimbriatum	[]	False	False	Erythroxylum fimbriatum	6100264.0	species	ott3.5draft1	[]	['ncbi:2589464', 'gbif:3694373']	Erythroxylum fimbriatum	both
Lycianthes multinervium|WP	solanaceae	Lycianthes	lycianthes multinervium	WP																		left_only
Syngonium peliocladum|WP	araceae	Syngonium	syngonium peliocladum	WP		False	True	Syngonium peliocladum	ICN	1.0	syngonium peliocladum	[]	False	False	Syngonium podophyllum	352215.0	species	ott3.5draft1	['Pothos auritus', 'Syngonium affine', 'Syngonium amazonicum', 'Syngonium decipiens', 'Syngonium gracile', 'Syngonium peliocladum', 'Syngonium podophyllum typicum', 'Syngonium poeppigii', 'Syngonium riedelianum', 'Syngonium ruizii', 'Syngonium ternatum', 'Syngonium willdenowii', 'Syngonium xanthophilum', 'Xanthosoma gracile']	['ncbi:267621', 'gbif:2867866', 'irmng:10420051']	Syngonium podophyllum	both
Philodendron aurantiifolium|WP	araceae	Philodendron	philodendron aurantiifolium	WP		False	False	Philodendron aurantiifolium	ICN	1.0	philodendron aurantiifolium	[]	False	False	Philodendron aurantiifolium	4000606.0	species	ott3.5draft1	['Philodendron calderense']	['gbif:2871109', 'irmng:11268219']	Philodendron aurantiifolium	both
Miconia ligulata|AE	melastomataceae	Miconia	miconia ligulata	AE		False	False	Miconia ligulata	ICN	1.0	miconia ligulata	[]	False	False	Miconia ligulata	1017534.0	species	ott3.5draft1	['Conostegia consimilis', 'Leandra consimilis']	['ncbi:427232', 'gbif:9267589']	Miconia ligulata	both
Piper garagaranum|WP	piperaceae	Piper	piper garagaranum	WP		False	False	Piper garagaranum	ICN	1.0	piper garagaranum	[]	False	False	Piper garagaranum	1081774.0	species	ott3.5draft1	['Piper conceptum', 'Piper viridispicum']	['ncbi:130400', 'gbif:4189712']	Piper garagaranum	both
Loreya mespiloides|AE	melastomataceae	Loreya	loreya mespiloides	AE		False	True	Loreya mespiloides	ICN	1.0	loreya mespiloides	[]	False	False	Bellucia mespiloides	618401.0	species	ott3.5draft1	['Henriettea brunnescens', 'Henriettea sagotiana', 'Loreya brunnescens', 'Loreya mespiloides']	['ncbi:454296', 'gbif:3866556']	Bellucia mespiloides	both
Ichnanthus pallens|WP	poaceae	Ichnanthus	ichnanthus pallens	WP		False	True	Ichnanthus pallens	ICN	1.0	ichnanthus pallens	[]	False	False	Hildaea pallens	269741.0	species	ott3.5draft1	['Ichnanthus axillaris', 'Ichnanthus pallens', 'Ichnanthus pallens majus', 'Panicum agrostideum', 'Panicum candidum', 'Panicum montanum', 'Panicum pallens', 'Panicum pallens swartzii']	['ncbi:1718245', 'gbif:2704501', 'irmng:10207523']	Hildaea pallens	both
Peperomia hernandiifolia|WP	piperaceae	Peperomia	peperomia hernandiifolia	WP		False	False	Peperomia hernandiifolia	ICN	1.0	peperomia hernandiifolia	[]	False	False	Peperomia hernandiifolia	78850.0	species	ott3.5draft1	['Peperomia choroniana puberulenta', 'Peperomia ciliifera', 'Peperomia ciliifera filipes', 'Peperomia conserta', 'Peperomia hernandifolia', 'Peperomia hernandiifolia calva', 'Peperomia hernandiifolia ciliifera', 'Peperomia hernandiifolia cryptocarpa', 'Peperomia hernandiifolia filipes', 'Peperomia ponthieui', 'Piper hernandiifolium']	['ncbi:511528', 'gbif:3086468', 'irmng:10740502', 'irmng:10204575']	Peperomia hernandiifolia	both
