Family	Genus	Species	matched_name	taxon.name	taxon.ott_id	taxon.synonyms	NCBITaxonomy
humiriaceae	Sacoglottis	sacoglottis trichogyna	Sacoglottis trichogyna	Sacoglottis trichogyna	6101284.0	[]	
araceae	Anthurium	anthuriumctabile	Anthurium nobile	Anthurium solitarium	3999601.0	['Anthurium glaziovii', 'Anthurium nobile', 'Pothos solitarius']	
zingiberaceae	Renealmia	renealmia pluriplicata	Renealmia pluriplicata	Renealmia pluriplicata	239376.0	[]	376580|Renealmia pluriplicata
solanaceae	Cestrum	cestrum microcalix	Cestrum microcalyx	Cestrum microcalyx	6091475.0	['Cestrum donnell-smithii', 'Cestrum silvaticum', 'Cestrum tenuissimum']	
hippocastanaceae	Billia	billia rosea	Billia rosea	Billia rosea	6124696.0	['Aesculus mexicana', 'Billia columbiana', 'Billia hippocastanum', 'Pawia mexicana', 'Putzeysia rosea']	1807071|Billia rosea
icacinaceae	Calatola	calatola costaricensis	Calatola costaricensis	Calatola costaricensis	233232.0	['Calatola columbiana', 'Calatola pastazana', 'Calatola sanquininensis', 'Calatola venezuelana']	1136814|Calatola costaricensis
rubiaceae	Gonzalagunia	gonzalagunia bracteosa	Gonzalagunia bracteosa	Bertiera bracteosa	273103.0	['Bertiera oligosperma', 'Duggena bracteosa', 'Gonzalagunia bracteosa', 'Gonzalea bracteosa']	1125919|Bertiera bracteosa
melastomataceae	Conostegia	conostegia setosa	Conostegia setosa	Conostegia setosa	61266.0	['Conostegia hirsuta', 'Cryptophysa setosa']	476975|Conostegia setosa
poaceae	Panicum	panicum maximum	Panicum maximum	Megathyrsus maximus	861079.0	['Panicum maximum', 'Urochloa maxima']	59788|Megathyrsus maximus
poaceae	Ichnanthus	ichnanthus nemorosus	Ichnanthus nemorosus	Ichnanthus nemorosus	729435.0	['Echinolaena nemorosa', 'Hildaea nemorosa', 'Ichnanthus colonarius', 'Ichnanthus gracilis', 'Ichnanthus nubigenus', 'Ichnanthus nubilis', 'Ichnanthus tenuifolius', 'Milium nemorosum', 'Panicum nemorosum', 'Panicum nemorosum uncinatum']	416046|Ichnanthus nemorosus
marattiaceae	Danaea	danaea nodosa	Danaea nodosa	Danaea nodosa	891014.0	['Acrostichum nodosum', 'Asplenium nodosum', 'Danaea angustifolia', 'Danaea bicolor', 'Danaea cordata', 'Danaea elata', 'Danaea elliptica', 'Danaea erecta', 'Danaea latipinna', 'Danaea longicaudata', 'Danaea longifolia', 'Danaea nigrescens', 'Danaea nodosa angustifolia', 'Danaea nodosa intermedia', 'Danaea nodosa longifolia', 'Danaea sellowiana']	491836|Danaea nodosa
gesneriaceae	Drymonia	drymonia pilifera	Drymonia pilifera	Drymonia pilifera	1039804.0	[]	352313|Drymonia pilifera
sterculiaceae	Herrania	herrania purpurea	Herrania purpurea	Herrania purpurea	1088452.0	['Theobroma purpureum']	108874|Herrania purpurea
acanthaceae	Bravaisia	bravaisia integerrima	Bravaisia integerrima	Bravaisia integerrima	654225.0	['Amasonia integerrima', 'Androcentrum multiflorum', 'Barleria anomala', 'Bravaisia floribunda', 'Onychacanthus arboreus', 'Onychacanthus cumingii', 'Onychacanthus speciosus', 'Ruellia arborescens']	440885|Bravaisia integerrima
euphorbiaceae	Hura	hura crepitans	Hura crepitans	Hura crepitans	870626.0	['Hura brasiliensis', 'Hura crepitans genuina', 'Hura crepitans membranacea', 'Hura crepitans oblongifolia', 'Hura crepitans orbicularis', 'Hura crepitans ovata', 'Hura crepitans senegalensis', 'Hura crepitans strepens', 'Hura senegalensis', 'Hura strepens']	99294|Hura crepitans
moraceae	Batocarpus	batocarpus costaricensis	Batocarpus costaricensis	Batocarpus costaricensis	696248.0	[]	241865|Batocarpus costaricensis
lauraceae	Licaria	licaria cufodontisii	Licaria cufodontisii	Licaria misantlae	6026431.0	['Acrodiclidium caudatum', 'Acrodiclidium cufodontisii', 'Acrodiclidium misantlae', 'Chanekia caudata', 'Chanekia misantlae', 'Licaria caudata', 'Licaria cufodontisii', 'Misanteca caudata', 'Misanteca cufodontisii', 'Misanteca misantlae']	
olacaceae	Heisteria	heisteria concinna	Heisteria concinna	Heisteria concinna	388657.0	[]	50126|Heisteria concinna
rutaceae	Erythrochiton	erythrochiton gymnanthus	Erythrochiton gymnanthus	Erythrochiton gymnanthus	6126249.0	[]	
rubiaceae	Faramea	faramea occidentalis	Faramea occidentalis	Faramea occidentalis	243665.0	['Antoniana laurifolia', 'Coffea occidentalis', 'Coussarea americana', 'Coussarea odoratissima', 'Darluca prostrata', 'Faramea americana', 'Faramea cyanea', 'Faramea occidentalis brachycalyx', 'Faramea occidentalis meridionalis', 'Faramea odoratissima', 'Faramea tenuiflora', 'Faramea warmingiana', 'Faramea zetekii', 'Ixora americana', 'Ixora occidentalis', 'Neleixa prostrata', 'Tetramerium occidentale', 'Tetramerium odoratissimum']	60050|Faramea occidentalis
rubiaceae	Chomelia	chomelia microloba	Chomelia microloba	Chomelia microloba	3880851.0	['Anisomeris microloba', 'Chione chambersii', 'Chomelia peninsularis']	
moraceae	Sorocea	sorocea pubivena	Sorocea pubivena	Sorocea pubivena	552696.0	[]	241924|Sorocea pubivena
bignoniaceae	Tabebuia	tabebuia chrysantha	Tabebuia chrysantha	Handroanthus chrysanthus	237902.0	['Tabebuia chrysantha', 'Tabebuia crysantha', 'Tecoma spectabilis']	429696|Handroanthus chrysanthus
piperaceae	Piper	piper reticulatum	Piper reticulatum	Piper reticulatum	505277.0	['Artanthe ruiziana', 'Artanthe schlechtendalii', 'Discipiper reticulatum', 'Enckea lata', 'Enckea reticulata', 'Enckea smilacifolia', 'Macropiper latum', 'Piper discophorum', 'Piper duchassaingii', 'Piper latum', 'Piper pangoense', 'Piper reticulatum santa-rosanum', 'Piper smilacifolium', 'Piper tarapotianum']	130413|Piper reticulatum
moraceae	Brosimum	brosimum alicastrum	Brosimum alicastrum	Brosimum alicastrum	923984.0	['Brosimum uleanum']	194253|Brosimum alicastrum
nyctaginaceae	Guapira	guapira costaricana	Guapira costaricana	Guapira costaricana	6038293.0	['Guapira itzana', 'Torrubia costaricana']	
rubiaceae	Geophila	geophila repens	Geophila repens	Geophila repens	447912.0	['Carinta herbacea', 'Carinta repens', 'Carinta repens americana', 'Carinta repens comorensis', 'Carinta uniflora', 'Cephaelis diversifolia', 'Cephaelis herbacea', 'Cephaelis reniformis', 'Geocardia cordata', 'Geocardia herbacea', 'Geocardia repens', 'Geophila cordata', 'Geophila diversifolia', 'Geophila herbacea', 'Geophila herbacea obicularis', 'Geophila herbacea violaefolia', 'Geophila hydrocotyloides', 'Geophila reniformis', 'Geophila reniformis americana', 'Geophila reniformis asiatica', 'Geophila repens asiatica', 'Geophila repens reniformis', 'Geophila uniflora', 'Geophila violacea', 'Mapouria cordata', 'Mapouria herbacea', 'Mapouria herbacea minor', 'Psychotria herbacea', 'Psychotria repens', 'Psychotria sylvana', 'Psychotria violacea', 'Psychotrophum herbaceum', 'Rondeletia repens', 'Uragoga herbacea', 'Uragoga reniformis']	58419|Geophila repens
moraceae	Olmedia	olmedia aspera	Olmedia aspera	Trophis caucana	425685.0	['Olmedia aspera', 'Olmedia caucana', 'Olmedia falcifolia', 'Olmedia poeppigiana', 'Trophis aurantiaca']	681501|Trophis caucana
caricaceae	Carica	carica pennata	Carica pennata	Vasconcellea cauliflora	535096.0	['Carica boissieri', 'Carica bourgeaui', 'Carica cauliflora', 'Carica pennata', 'Carica quinqueloba', 'Papaya bourgeaui', 'Papaya cauliflora', 'Vasconcellea boissieri']	262677|Vasconcellea cauliflora
cecropiaceae	Cecropia	cecropia peltata	Cecropia peltata	Cecropia peltata	266711.0	['Ambaiba humboldtiana', 'Ambaiba peltata', 'Ambaiba propinqua', 'Ambaiba schiedeana', 'Ambaiba surinamensis', 'Cecropia arachnoidea', 'Cecropia asperrima', 'Cecropia dielsiana', 'Cecropia digitata grisea', 'Cecropia goodspeedii', 'Cecropia hondurensis', 'Cecropia humboldtiana', 'Cecropia propinqua', 'Cecropia scabrifolia', 'Cecropia schiedeana', 'Cecropia surinamensis']	210352|Cecropia peltata
araceae	Dracontium	dracontium soconuscum	Dracontium soconuscum	Dracontium soconuscum	3999167.0	['Dracontium dressleri']	
sapindaceae	Talisia	talisia allenii	Talisia allenii	Talisia macrophylla	6127925.0	['Cupania macrophylla', 'Talisia allenii', 'Talisia elephantipes', 'Talisia pentantha', 'Talisia sancarlosiana']	
moraceae	Trophis	trophis racemosa	Trophis racemosa	Trophis racemosa	250420.0	['Bucephalon racemosum', 'Clarisia urophylla', 'Pseudolmedia karstenii', 'Sahagunia urophylla', 'Sorocea colombiana', 'Trophis americana', 'Trophis americana meridionalis', 'Trophis americana ramon', 'Trophis racemosa meridionalis', 'Trophis ramon']	241934|Trophis racemosa
apocynaceae	Rauvolfia	rauvolfia littoralis	Rauvolfia littoralis	Rauvolfia littoralis	651357.0	['Rauvolfia indosinensis', 'Rauvolfia macrocarpa', 'Rauvolfia multiflora']	681485|Rauvolfia littoralis
fabaceae/mim.	Samanea	samanea saman	Samanea saman	Samanea saman	930721.0	['Acacia propinqua', 'Albizia saman', 'Albizzia saman', 'Calliandra saman', 'Enterolobium saman', 'Feuilleea saman', 'Inga cinerea', 'Inga salutaris', 'Inga saman', 'Mimosa pubifera', 'Mimosa saman', 'Pithecellobium cinereum', 'Pithecellobium saman', 'Pithecellobium saman saman', 'Pithecolobium saman', 'Zygia saman']	76910|Samanea saman
fabaceae/mim.	Cojoba	cojoba arborea	Cojoba arborea	Cojoba arborea	337227.0	['Acacia arborea', 'Cojoba austrina', 'Cojoba colombiana', 'Cojoba guatemalensis', 'Cojoba matudai', 'Cojoba tonduzii', 'Cojoba tuerckheimii', 'Mimosa arborea', 'Mimosa filicifolia', 'Pithecellobium arboreum', 'Pithecellobium cubense', 'Pithecellobium filicifolium', 'Pithecellobium vulcanorum', 'Pithecolobium arboreum', 'Pithecolobium austrinum', 'Pithecolobium matudai', 'Pithecolobium tonduzii', 'Pithecolobium tuerckheimii', 'Pithecolobium vulcanorum', 'Samanea arborea']	466220|Cojoba arborea
melastomataceae	Clidemia	clidemia ciliata	Clidemia ciliata	Clidemia ciliata	756992.0	['Calophysa ciliata']	263232|Clidemia ciliata
rubiaceae	Hamelia	hamelia xerocarpa	Hamelia xerocarpa	Hamelia xerocarpa	3881003.0	['Hamelia costaricensis', 'Hamelia haughtii', 'Hamelia magniloba', 'Hamelia panamensis', 'Hamelia rowleei', 'Hamelia storkii', 'Hamelia xerocarpa costaricensis']	
araceae	Dieffenbachia	dieffenbachia oerstedii	Dieffenbachia oerstedii	Dieffenbachia oerstedii	897966.0	[]	418808|Dieffenbachia oerstedii
rubiaceae	Posoqueria	posoqueria latifolia	Posoqueria latifolia	Posoqueria latifolia	923757.0	['Solena latifolia', 'Tocoyena latifolia']	58460|Posoqueria latifolia
chrysobalanaceae	Hirtella	hirtella racemosa	Hirtella racemosa	Hirtella racemosa	322913.0	['Hirtella acayacensis', 'Hirtella coriacea', 'Hirtella filiformis', 'Hirtella hexandra', 'Hirtella nemorosa', 'Hirtella nitida', 'Hirtella oblongifolia', 'Hirtella racemosa metallica', 'Hirtella rosea', 'Hirtella scandens', 'Hirtella strigulosa', 'Hirtella violacea', 'Salmasia guianensis', 'Salmasia racemosa', 'Tachibota guianensis']	1125932|Hirtella racemosa
annonaceae	Sapranthus	sapranthus viridiflorus	Sapranthus viridiflorus	Sapranthus viridiflorus	778413.0	[]	235835|Sapranthus viridiflorus
fabaceae/mim.	Acacia	acacia hayesii	Acacia hayesii	Acacia hayesii	5785742.0	['Acacia acanthophylla', 'Acacia telensis', 'Senegalia acanthophylla', 'Senegalia hayesii']	1504162|Acacia hayesii
moraceae	Ficus	ficus yoponensis	Ficus yoponensis	Ficus yoponensis	744624.0	['Ficus tobagensis']	182133|Ficus yoponensis
marantaceae	Calathea	calathea gymnocarpa	Calathea gymnocarpa	Goeppertia gymnocarpa	903318.0	['Calathea gymnocarpa']	210041|Goeppertia gymnocarpa
sapotaceae	Chrysophyllum	chrysophyllum argenteum	Chrysophyllum argenteum	Chrysophyllum argenteum	163428.0	['Chrysophyllum auratum', 'Chrysophyllum dubium', 'Chrysophyllum ferrugineum', 'Chrysophyllum glabrum', 'Chrysophyllum guyanense', 'Chrysophyllum hostmannianum', 'Chrysophyllum immersum', 'Chrysophyllum macrophyllum', 'Chrysophyllum microcarpum', 'Chrysophyllum nitidissimum', 'Chrysophyllum nitidum', 'Chrysophyllum panamense', 'Chrysophyllum pavonii', 'Chrysophyllum psilophyllum', 'Chrysophyllum pyriforme', 'Chrysophyllum richardii', 'Chrysophyllum sericeum', 'Cynodendron argenteum', 'Cynodendron auratum', 'Cynodendron ferrugineum', 'Cynodendron nitidum', 'Cynodendron panamense', 'Dactimala microcarpa', 'Guersentia microcarpa', 'Nycterisition ferrugineum', 'Sideroxylon guadalupense']	233671|Chrysophyllum argenteum
ulmaceae	Celtis	celtis iguanaea	Celtis iguanaea	Celtis iguanaea	893812.0	['? iguanea', 'Celtidopsis citrifolia', 'Celtis aculeata', 'Celtis aculeata laevigata', 'Celtis aculeata pubescens', 'Celtis aculeata serrata', 'Celtis alnifolia', 'Celtis anfractuosa', 'Celtis asperula', 'Celtis berlandieri', 'Celtis biflora', 'Celtis brevifolia', 'Celtis dichotoma', 'Celtis diffusa', 'Celtis epiphylladena', 'Celtis flexuosa glabrifolia', 'Celtis gardneri', 'Celtis glabrata', 'Celtis glycycarpa', 'Celtis goudotii', 'Celtis hilariana', 'Celtis iguanaeus', 'Celtis laevigata', 'Celtis membranacea', 'Celtis morifolia', 'Celtis pavonii', 'Celtis platycaulis', 'Celtis pubescens', 'Celtis rhamnoides', 'Celtis spinosa', 'Celtis spinosissima', 'Celtis triflora', 'Celtis velutina', 'Celtis williamsii', 'Celtis zizyphoides', 'Colletia iguanaea', 'Mertensia aculeata', 'Mertensia citrifolia', 'Mertensia commutata', 'Mertensia goudotii', 'Mertensia iguanaea', 'Mertensia laevigata', 'Mertensia pubescens', 'Mertensia rhamnoides', 'Mertensia zizyphoides', 'Momisia aculeata', 'Momisia alnifolia', 'Momisia anfractuosa', 'Momisia brevifolia', 'Momisia dichotoma', 'Momisia iguanaea', 'Momisia laevigata', 'Momisia membranacea', 'Momisia pubescens', 'Momisia spinosissima', 'Momisia tarijensis', 'Momisia triflora', 'Momisia zizyphoides', 'Plagioceltis dichotoma', 'Rhamnus iguanaea', 'Saurobroma iguanense', 'Ziziphus commutata', 'Ziziphus iguanea']	258491|Celtis iguanaea
euphorbiaceae	Sapium	sapium laurifolium	Sapium laurifolium	Sapium laurifolium	3911904.0	['Excoecaria laurocerasus elliptica', 'Excoecaria laurocerasus laurifolia', 'Sapium anadenum', 'Sapium brownei', 'Sapium decipiens', 'Sapium eglandulosum', 'Sapium jamaicense', 'Sapium laurocerasum laurifolium', 'Sapium laurocerasus ellipticum', 'Sapium laurocerasus laurifolium', 'Sapium pleiostachys', 'Sapium utile', 'Stillingia laurifolia']	1487833|Sapium laurifolium
rubiaceae	Alseis	alseis costaricensis	Alseis costaricensis	Alseis costaricensis	3877637.0	[]	
bixaceae	Bixa	bixa urucurana	Bixa urucurana	Bixa urucurana	1047908.0	['Bixa orellana urucurana', 'Bixa sphaerocarpa', 'Bixa upatensis', 'Orellana americana urucurana']	1123547|Bixa urucurana
cucurbitaceae	Psiguria	psiguria warscewiczii	Psiguria warscewiczii	Psiguria warscewiczii	1025138.0	['Anguria aurantiaca', 'Anguria limonensis', 'Anguria magdalenae', 'Anguria tonduzii', 'Anguria warscewicziana', 'Anguria warscewiczii', 'Psiguria aurantiaca']	501919|Psiguria warscewiczii
rubiaceae	Pentagonia	pentagonia tinajita	Pentagonia tinajita	Pentagonia tinajita	919147.0	['Pentagonia alba', 'Pentagonia alfaroana', 'Watsonamra alfaroana', 'Watsonamra tinajita']	153763|Pentagonia tinajita
commelinaceae	Dichorisandra	dichorisandra amabilis	Dichorisandra amabilis	Dichorisandra amabilis	543882.0	[]	1125895|Dichorisandra amabilis
tiliaceae	Apeiba	apeiba tibourbou	Apeiba tibourbou	Apeiba tibourbou	1010139.0	['Apeiba cimbalaria', 'Apeiba hirsuta', 'Apeiba tibourbou rugosa', 'Apeiba tibourbou tibourbou', 'Aubletia tiburbu']	82398|Apeiba tibourbou
verbenaceae	Lantana	lantana camara	Lantana camara	Lantana camara	78889.0	['Camara vulgaris', 'Lantana aculeata', 'Lantana camara hybrida', 'Lantana coccinea', 'Lantana glandulodissima', 'Lantana sp. Albach 12', 'Lantana sp. PSS-2000', 'Lantana spinosa', 'Lantana tiliifolia', 'Lantana urticifolia urticifolia', 'non Lantana camara hort.']	126435|Lantana camara
cyperaceae	Scleria	scleria melaleuca	Scleria melaleuca	Scleria gaertneri	854045.0	['Dichromena vahlii', 'Schoenus latifolius', 'Scleria affinis', 'Scleria asperata', 'Scleria asperata publ', 'Scleria boliviana', 'Scleria communis', 'Scleria congolensis', 'Scleria conspersa', 'Scleria flagellata', 'Scleria latifolia', 'Scleria longifolia', 'Scleria margaritifera', 'Scleria melaleuca', 'Scleria ottonis', 'Scleria pittieri', 'Scleria platensis', 'Scleria pratensis', 'Scleria pratensis melanocarpa', 'Scleria pratensis pratensis', 'Scleria pterota', 'Scleria pterota melaleuca', 'Scleria pterota pterota', 'Scleria pterota submelaleuca', 'Scleria scindens', 'Scleria selloana', 'Scleria simplicior']	1129711|Scleria gaertneri
euphorbiaceae	Alchornea	alchornea costaricensis	Alchornea costaricensis	Alchornea costaricensis	592843.0	['Alchornea costaricensis longispicata']	1123430|Alchornea costaricensis
araliaceae	Oreopanax	oreopanax capitatus	Oreopanax capitatus	Oreopanax capitatus	163580.0	['Aralia arborea', 'Aralia capitata', 'Aralia longifolia', 'Aralia multiflora', 'Aralia ovata', 'Botryodendrum capitatum', 'Hedera capitata', 'Hedera frondosa', 'Hedera multiflora', 'Mesopanax capitatus', 'Mesopanax liebmannii', 'Oreopanax capitatus minor', 'Oreopanax capitatus multiflorus', 'Oreopanax capitatus scandens', 'Oreopanax destructor', 'Oreopanax liebmannii', 'Oreopanax meiocephalus', 'Oreopanax microcephalus', 'Oreopanax oligocarpus', 'Sciadophyllum capitatum', 'Sciodaphyllum capitatum']	230590|Oreopanax capitatus
euphorbiaceae	Phyllanthus	phyllanthus acuminatus	Phyllanthus acuminatus	Phyllanthus acuminatus	98948.0	['Diasperus acuminatus', 'Phyllanthus acuminatus paraguariensis', 'Phyllanthus averrhoifolius', 'Phyllanthus cumanensis', 'Phyllanthus foetidus', 'Phyllanthus lycioides', 'Phyllanthus mucronatus', 'Phyllanthus ruscoides', 'Phyllanthus sessei']	319566|Phyllanthus acuminatus
myrtaceae	Syzygium	syzygium malaccense	Syzygium malaccense	Syzygium malaccense	466446.0	['Caryophyllus malaccensis', 'Eugenia domestica', 'Eugenia macrophylla', 'Eugenia malaccensis', 'Eugenia pseudomalaccensis', 'Eugenia purpurascens', 'Eugenia purpurea', 'Jambosa domestica', 'Jambosa macrophylla', 'Jambosa malaccensis', 'Jambosa malaccensis purpurascens', 'Jambosa purpurascens', 'Jambosa purpurea', 'Myrtus macrophylla', 'Myrtus malaccensis']	219892|Syzygium malaccense
urticaceae	Urera	urera simplex	Urera simplex	Urera simplex	375573.0	['Urera boliviensis', 'Urera eggersii', 'Urera tuerckheimii']	1130852|Urera simplex
melastomataceae	Miconia	miconia trinervia	Miconia trinervia	Miconia trinervia	419578.0	['Acinodendron scorpioides', 'Acinodendron trinervium', 'Melastoma scorpioides', 'Melastoma trinervia', 'Miconia anceps', 'Miconia scorpioides']	477144|Miconia trinervia
malvaceae	Hampea	hampea platanifolia	Hampea platanifolia	Hampea platanifolia	6117274.0	[]	
moraceae	Brosimum	brosimum costaricanum	Brosimum costaricanum	Brosimum costaricanum	6107982.0	['Alicastrum costaricanum', 'Brosimum sapiifolium', 'Helicostylis montana']	
lauraceae	Cinnamomum	cinnamomum cinnamomifolium	Cinnamomum cinnamomifolium	Cinnamomum cinnamomifolium	445168.0	[]	128605|Cinnamomum cinnamomifolium
malvaceae	Malvaviscus	malvaviscus concinnus	Malvaviscus concinnus	Malvaviscus concinnus	175984.0	['Achania concinna', 'Hibiscus racemosus', 'Malvaviscus arboreus williamsii', 'Malvaviscus cordatus', 'Malvaviscus cuspidatus', 'Malvaviscus funckeanus', 'Malvaviscus glabrescens', 'Malvaviscus guerkeanus', 'Malvaviscus integrifolius', 'Malvaviscus leucocarpus', 'Malvaviscus maynensis', 'Malvaviscus oligotrichus', 'Malvaviscus spathulatus', 'Malvaviscus speciosus', 'Malvaviscus ulei', 'Malvaviscus velutinus', 'Malvaviscus williamsii']	1076882|Malvaviscus concinnus
