ID	Family	Genus	Species	Part	
Chaetolepis cufodontisii|WP	melastomataceae	Chaetolepis	Chaetolepis cufodontisii	WP	
Calceolaria irazuensis|WP	scrophulariaceae	Calceolaria	Calceolaria irazuensis	WP	
Prosopis juliflora|AE	fabaceae/mim.	Prosopis	Prosopis juliflora	AE	
Quassia amara|WP	simaroubaceae	Quassia	Quassia amara	WP	
Picramnia latifolia|L	simaroubaceae	Picramnia	Picramnia latifolia	L	
Xylopia frutescens|AE	annonaceae	Xylopia	Xylopia frutescens	AE	
Dalbergia brownei|WP	fabaceae/pap.	Dalbergia	Dalbergia brownei	WP	
Amphitecna latifolia|L	bignoniaceae	Amphitecna	Amphitecna latifolia	L	
Neonicholsonia watsonii|L	arecaceae	Neonicholsonia	Neonicholsonia watsonii	L	
Heliconia imbricata|L	heliconiaceae	Heliconia	Heliconia imbricata	L	
Trichilia pallida|AE	meliaceae	Trichilia	Trichilia pallida	AE	
Mabea occidentalis|AE	euphorbiaceae	Mabea	Mabea occidentalis	AE	
Urochloa decumbens|WP	poaceae	Urochloa	Urochloa decumbens	WP	
Bunchosia cornifolia|L	malpighiaceae	Bunchosia	Bunchosia cornifolia	L	
Alibertia edulis|AE	rubiaceae	Alibertia	Alibertia edulis	AE	
Nasturtium officinale|WP	brassicaceae	Nasturtium	Nasturtium officinale	WP	
Huperzia hippuridea|WP	lycopodiaceae	Huperzia	Huperzia hippuridea	WP	
Schizolobium parahyba|L	fabaceae/caes.	Schizolobium	Schizolobium parahyba	L	
Albizia adinocephala|AE	fabaceae/mim.	Albizia	Albizia adinocephala	AE	
Pleuropetalum pleiogynum|WP	amaranthaceae	Pleuropetalum	Pleuropetalum pleiogynum	WP	
Strychnos nigricans|AE	loganiaceae	Strychnos	Strychnos nigricans	AE	
Gnaphalium roseum|WP	asteraceae	Gnaphalium	Gnaphalium roseum	WP	
Lachemilla pectinata|WP	rosaceae	Lachemilla	Lachemilla pectinata	WP	
Diplostephium costaricense|AE	asteraceae	Diplostephium	Diplostephium costaricense	AE	
Eryngium humile|WP	apiaceae	Eryngium	Eryngium humile	WP	
Ranunculus peruvianus|WP	ranunculaceae	Ranunculus	Ranunculus peruvianus	WP	
Chionolaena lavandulifolia|WP	asteraceae	Chionolaena	Chionolaena lavandulifolia	WP	
Lepechinia schiedeana|WP	lamiaceae	Lepechinia	Lepechinia schiedeana	WP	
Lupinus costaricensis|WP	fabaceae/pap.	Lupinus	Lupinus costaricensis	WP	
Sparattanthelium amazonum|WP	hernandiaceae	Sparattanthelium	Sparattanthelium amazonum	WP	
Ocotea pentagona|L	lauraceae	Ocotea	Ocotea pentagona	L	
Paullinia pinnata|AE	sapindaceae	Paullinia	Paullinia pinnata	AE	
Pentagonia sprucei|L	rubiaceae	Pentagonia	Pentagonia sprucei	L	
Meliosma allenii|L	sabiaceae	Meliosma	Meliosma allenii	L	
Caesalpinia bonduc|AE	fabaceae/caes.	Caesalpinia	Caesalpinia bonduc	AE	
Omphalea diandra|WP	euphorbiaceae	Omphalea	Omphalea diandra	WP	
Doliocarpus major|WP	dilleniaceae	Doliocarpus	Doliocarpus major	WP	
Rottboellia cochinchinensis|WP	poaceae	Rottboellia	Rottboellia cochinchinensis	WP	
Eugenia acapulcensis|L	myrtaceae	Eugenia	Eugenia acapulcensis	L	
Cuervea kappleriana|WP	hippocrateaceae	Cuervea	Cuervea kappleriana	WP	
Lophanthera hammelii|AE	malpighiaceae	Lophanthera	Lophanthera hammelii	AE	
Ficus maxima|AE	moraceae	Ficus	Ficus maxima	AE	
Cupania rufescens|AE	sapindaceae	Cupania	Cupania rufescens	AE	
Olyra latifolia|AE	poaceae	Olyra	Olyra latifolia	AE	
Aspidosperma myristicifolium|L	apocynaceae	Aspidosperma	Aspidosperma myristicifolium	L	
Randia armata|L	rubiaceae	Randia	Randia armata	L	
Sloanea terniflora|AE	elaeocarpaceae	Sloanea	Sloanea terniflora	AE	
Ardisia opegrapha|WP	myrsinaceae	Ardisia	Ardisia opegrapha	WP	
Clarisia racemosa|L	moraceae	Clarisia	Clarisia racemosa	L	
Sarcaulus brasiliensis|L	sapotaceae	Sarcaulus	Sarcaulus brasiliensis	L	
Gurania makoyana|L	cucurbitaceae	Gurania	Gurania makoyana	L	
Eschweilera longirachis|L	lecythidaceae	Eschweilera	Eschweilera longirachis	L	
Calathea donnell-smithii|WP	marantaceae	Calathea	Calathea donnell-smithii	WP	
Hymenaea courbaril|AE	fabaceae/caes.	Hymenaea	Hymenaea courbaril	AE	
Entada polystachya|AE	fabaceae/mim.	Entada	Entada polystachya	AE	
Genipa americana|AE	rubiaceae	Genipa	Genipa americana	AE	
Cassia grandis|L	fabaceae/caes.	Cassia	Cassia grandis	L	
Acrostichum aureum|L	pteridaceae	Acrostichum	Acrostichum aureum	L	
Guettarda sanblasensis|AE	rubiaceae	Guettarda	Guettarda sanblasensis	AE	
Laguncularia racemosa|AE	combretaceae	Laguncularia	Laguncularia racemosa	AE	
Cestrum strigilatum|L	solanaceae	Cestrum	Cestrum strigilatum	L	
Solanum circinatum|L	solanaceae	Solanum	Solanum circinatum	L	
Maclura tinctoria|AE	moraceae	Maclura	Maclura tinctoria	AE	
Ipomoea setosa|WP	convolvulaceae	Ipomoea	Ipomoea setosa	WP	
Carludovica drudei|L	cyclanthaceae	Carludovica	Carludovica drudei	L	
Spondias radlkoferi|AE	anacardiaceae	Spondias	Spondias radlkoferi	AE	
Adelia triloba|AE	euphorbiaceae	Adelia	Adelia triloba	AE	
Enterolobium cyclocarpum|L	fabaceae/mim.	Enterolobium	Enterolobium cyclocarpum	L	
Mimosa pudica|WP	fabaceae/mim.	Mimosa	Mimosa pudica	WP	
Solanum storckii|AE	solanaceae	Solanum	Solanum storckii	AE	
Holcus lanatus|WP	poaceae	Holcus	Holcus lanatus	WP	
Maytenus woodsonii|AE	celastraceae	Maytenus	Maytenus woodsonii	AE	
Maianthemum paludicola|WP	convallariaceae	Maianthemum	Maianthemum paludicola	WP	
Rinorea squamata|AE	violaceae	Rinorea	Rinorea squamata	AE	
Virola multiflora|AE	myristicaceae	Virola	Virola multiflora	AE	
Erythrina berteroana|AE	fabaceae/pap.	Erythrina	Erythrina berteroana	AE	
Solanum rudepannum|L	solanaceae	Solanum	Solanum rudepannum	L	
Piper tuberculatum|L	piperaceae	Piper	Piper tuberculatum	L	
Cissus verticillata|WP	vitaceae	Cissus	Cissus verticillata	WP	
Randia altiscandens|WP	rubiaceae	Randia	Randia altiscandens	WP	
Verbesina myriocephala|L	asteraceae	Verbesina	Verbesina myriocephala	L	
Plumeria rubra|AE	apocynaceae	Plumeria	Plumeria rubra	AE	
Mikania micrantha|WP	asteraceae	Mikania	Mikania micrantha	WP	
Solanum adhaerens|AE	solanaceae	Solanum	Solanum adhaerens	AE	
Chamaesyce hypericifolia|WP	euphorbiaceae	Chamaesyce	Chamaesyce hypericifolia	WP	
Phoradendron sp nov|WP	viscaceae	Phoradendron	Phoradendron sp nov	WP	
Cnidoscolus urens|WP	euphorbiaceae	Cnidoscolus	Cnidoscolus urens	WP	
Senna cobanensis|WP	fabaceae/caes.	Senna	Senna cobanensis	WP	
Merremia umbellata|WP	convolvulaceae	Merremia	Merremia umbellata	WP	
Lippia cardiostegia|AE	verbenaceae	Lippia	Lippia cardiostegia	AE	
Onoseris onoseroides|AE	asteraceae	Onoseris	Onoseris onoseroides	AE	
Ageratum conyzoides|WP	asteraceae	Ageratum	Ageratum conyzoides	WP	
Ipomoea nil|WP	convolvulaceae	Ipomoea	Ipomoea nil	WP	
Stylogyne laevis|L	myrsinaceae	Stylogyne	Stylogyne laevis	L	
Agrostis capillaris|WP	poaceae	Agrostis	Agrostis capillaris	WP	
Roldana scandens|L	asteraceae	Roldana	Roldana scandens	L	
Centropogon valerii|WP	campanulaceae	Centropogon	Centropogon valerii	WP	
Peperomia galioides|WP	piperaceae	Peperomia	Peperomia galioides	WP	
Werauhia ororiensis|WP	bromeliaceae	Werauhia	Werauhia ororiensis	WP	
Fuchsia splendens|WP	onagraceae	Fuchsia	Fuchsia splendens	WP	
Blechnum buchtienii|L	blechnaceae	Blechnum	Blechnum buchtienii	L	
Gunnera talamancana|L	gunneraceae	Gunnera	Gunnera talamancana	L	
Weinmannia fagaroides|AE	cunoniaceae	Weinmannia	Weinmannia fagaroides	AE	
Laestadia costaricensis|WP	asteraceae	Laestadia	Laestadia costaricensis	WP	
Psychotria hoffmannseggiana|L	rubiaceae	Psychotria	Psychotria hoffmannseggiana	L	
Pseudolmedia mollis|AE	moraceae	Pseudolmedia	Pseudolmedia mollis	AE	
Calea urticifolia|WP	asteraceae	Calea	Calea urticifolia	WP	
Cespedesia macrophylla|L	ochnaceae	Cespedesia	Cespedesia macrophylla	L	
Phenax angustifolius|WP	urticaceae	Phenax	Phenax angustifolius	WP	
Rhynchospora polyphylla|WP	cyperaceae	Rhynchospora	Rhynchospora polyphylla	WP	
Machaerium biovulatum|WP	fabaceae/pap.	Machaerium	Machaerium biovulatum	WP	
Hyparrhenia rufa|WP	poaceae	Hyparrhenia	Hyparrhenia rufa	WP	
Arthraxon hispidus|WP	poaceae	Arthraxon	Arthraxon hispidus	WP	
Dialium guianense|AE	fabaceae/caes.	Dialium	Dialium guianense	AE	
Vochysia megalophylla|AE	vochysiaceae	Vochysia	Vochysia megalophylla	AE	
Macrolobium costaricense|AE	fabaceae/caes.	Macrolobium	Macrolobium costaricense	AE	
Ternstroemia multiovulata|AE	theaceae	Ternstroemia	Ternstroemia multiovulata	AE	
Quiina macrophylla|AE	quiinaceae	Quiina	Quiina macrophylla	AE	
Stephanopodium costaricense|L	dichapetalaceae	Stephanopodium	Stephanopodium costaricense	L	
Arundinella deppeana|WP	poaceae	Arundinella	Arundinella deppeana	WP	
Cnestidium rufescens|WP	connaraceae	Cnestidium	Cnestidium rufescens	WP	
Bellucia pentamera|AE	melastomataceae	Bellucia	Bellucia pentamera	AE	
Pseudobombax septenatum|AE	bombacaceae	Pseudobombax	Pseudobombax septenatum	AE	
Cyperus ligularis|WP	cyperaceae	Cyperus	Cyperus ligularis	WP	
Turnera angustifolia|WP	turneraceae	Turnera	Turnera angustifolia	WP	
Cymbopogon citratus|WP	poaceae	Cymbopogon	Cymbopogon citratus	WP	
Hyptis suaveolens|WP	lamiaceae	Hyptis	Hyptis suaveolens	WP	
Cryptostegia madagascariensis|AE	asclepiadaceae	Cryptostegia	Cryptostegia madagascariensis	AE	
Lawsonia inermis|AE	lythraceae	Lawsonia	Lawsonia inermis	AE	
Zoysia matrella|WP	poaceae	Zoysia	Zoysia matrella	WP	
Scleria eggersiana|WP	cyperaceae	Scleria	Scleria eggersiana	WP	
Echinochloa polystachya|WP	poaceae	Echinochloa	Echinochloa polystachya	WP	
Crescentia cujete|AE	bignoniaceae	Crescentia	Crescentia cujete	AE	
Costus speciosus|AE	costaceae	Costus	Costus speciosus	AE	
Delonix regia|AE	fabaceae/caes.	Delonix	Delonix regia	AE	
Caesalpinia pulcherrima|AE	fabaceae/caes.	Caesalpinia	Caesalpinia pulcherrima	AE	
Morinda citrifolia|L	rubiaceae	Morinda	Morinda citrifolia	L	
Homalium racemosum|AE	flacourtiaceae	Homalium	Homalium racemosum	AE	
Cynometra hemitomophylla|AE	fabaceae/caes.	Cynometra	Cynometra hemitomophylla	AE	
Lonchocarpus heptaphyllus|L	fabaceae/pap.	Lonchocarpus	Lonchocarpus heptaphyllus	L	
Tovomita longifolia|AE	clusiaceae	Tovomita	Tovomita longifolia	AE	
Marila laxiflora|AE	clusiaceae	Marila	Marila laxiflora	AE	
Desmodium heterocarpon|WP	fabaceae/pap.	Desmodium	Desmodium heterocarpon	WP	
Canavalia rosea|WP	fabaceae/pap.	Canavalia	Canavalia rosea	WP	
Sansevieria trifasciata|WP	dracaenaceae	Sansevieria	Sansevieria trifasciata	WP	
Mimosa debilis|WP	fabaceae/mim.	Mimosa	Mimosa debilis	WP	
Aeschynomene americana|WP	fabaceae/pap.	Aeschynomene	Aeschynomene americana	WP	
Centrosema plumieri|WP	fabaceae/pap.	Centrosema	Centrosema plumieri	WP	
Eichhornia crassipes|WP	pontederiaceae	Eichhornia	Eichhornia crassipes	WP	
Polygonum hispidum|WP	polygonaceae	Polygonum	Polygonum hispidum	WP	
Solanum valerianum|WP	solanaceae	Solanum	Solanum valerianum	WP	
Ehretia latifolia|AE	boraginaceae	Ehretia	Ehretia latifolia	AE	
Solanum roblense|WP	solanaceae	Solanum	Solanum roblense	WP	
Ruellia macrantha|AE	acanthaceae	Ruellia	Ruellia macrantha	AE	
Begonia involucrata|WP	begoniaceae	Begonia	Begonia involucrata	WP	
Quercus seemannii|AE	fagaceae	Quercus	Quercus seemannii	AE	
Cissus trianae|WP	vitaceae	Cissus	Cissus trianae	WP	
Ageratina ixiocladon|WP	asteraceae	Ageratina	Ageratina ixiocladon	WP	
Joosia umbellifera|AE	rubiaceae	Joosia	Joosia umbellifera	AE	
Psychotria eurycarpa|AE	rubiaceae	Psychotria	Psychotria eurycarpa	AE	
Hymenachne amplexicaulis|WP	poaceae	Hymenachne	Hymenachne amplexicaulis	WP	
Senecio grandifolius|WP	asteraceae	Senecio	Senecio grandifolius	WP	
Archibaccharis schiedeana|WP	asteraceae	Archibaccharis	Archibaccharis schiedeana	WP	
Solanum acerifolium|WP	solanaceae	Solanum	Solanum acerifolium	WP	
Persea schiedeana|AE	lauraceae	Persea	Persea schiedeana	AE	
Ageratina ligustrina|AE	asteraceae	Ageratina	Ageratina ligustrina	AE	
Clethra lanata|AE	clethraceae	Clethra	Clethra lanata	AE	
Oxalis spiralis|WP	oxalidaceae	Oxalis	Oxalis spiralis	WP	
Dahlia imperialis|AE	asteraceae	Dahlia	Dahlia imperialis	AE	
Tournefortia hirsutissima|WP	boraginaceae	Tournefortia	Tournefortia hirsutissima	WP	
Solanum schlechtendalianum|WP	solanaceae	Solanum	Solanum schlechtendalianum	WP	
Borreria assurgens|WP	rubiaceae	Borreria	Borreria assurgens	WP	
Acalypha arvensis|WP	euphorbiaceae	Acalypha	Acalypha arvensis	WP	
Steriphoma paradoxum|AE	capparidaceae	Steriphoma	Steriphoma paradoxum	AE	
Indigofera hirsuta|WP	fabaceae/pap.	Indigofera	Indigofera hirsuta	WP	
Jatropha gossypiifolia|AE	euphorbiaceae	Jatropha	Jatropha gossypiifolia	AE	
Rhizophora mangle|L	rhizophoraceae	Rhizophora	Rhizophora mangle	L	
Ficus benjamina|L	moraceae	Ficus	Ficus benjamina	L	
Catharanthus roseus|WP	apocynaceae	Catharanthus	Catharanthus roseus	WP	
Trattinnickia aspera|L	burseraceae	Trattinnickia	Trattinnickia aspera	L	
Clarisia biflora|AE	moraceae	Clarisia	Clarisia biflora	AE	
Crinum erubescens|L	amaryllidaceae	Crinum	Crinum erubescens	L	
Inga acrocephala|L	fabaceae/mim.	Inga	Inga acrocephala	L	
